text;label
"[~bmahler], it looks like this can be closed since the Python UI is gone.";
"Is that true?";
"seems this is a CDK issue";
"Mladen, any progress please?";
"I am transfering my issues so I want to know the current status.";
"Thanks for reporting.";
"Fixed on the master (0d43528e) and the 1.6 (9affb57a).";
"or someother version?";
"ThriftServer.java and Hbase.thrift patched manually, the other files generated using thrift-0.2.0";
"I drafted a small benchmark (so far only for android) to demonstrate the issue.";
"> - FOUserAgent.getStream() is cool and very easy to use (now that it's properly > documented).";JOY
"Does it solve your issue ?";
"I'll see if I can arrange for the manifest to contain bundle-manifestVersion. ";
"Pushing non-critical issues to the next CR2.";
"i kinda like the black acctually .. but that may largely be due to my prefering the ""fire"" solr logo over the futuristic magnifying glass (the red/orange contrasts nicely with the black/grey.  to my mind, the ""Solr"" ""Sun"" connection has allways been really cool ... ";JOY
"If you think they are critical for CR1, please re-schedule them.";
"Issue is reproducible at least on Debian 32bit and SLES 10 64bit.";
"Awesome discussion.";JOY
"So, I also can say ""this is not yield keyword specific problem"".";
"Thank you for reviewing.";
"fixed in revision 478248";
"pushed";
"Supported by external project";
"And in that case, the first argument could also be changed from OpenBitSetDISI to OpenBitSet.";
"Until there will be _real_ need of adding new Monoid implementations, I would suggest to postpone the problem and keep *your* version of the patch.";
"Let's fight with the right weapons when we need, I wouldn't use a katana to kill a fly (unless I am Bruce Willis and I'm in Pulp Fiction :P)  best and thanks!";
"No issue found after noting how it's invoked.";
"And interestingly suddenly this is moved from MAPREDUCE to OOZIE.";
"Running patch through hudson.";
"Got it, thanks for the explanation.";JOY
"A new issue (https://issues.apache.org/jira/browse/RAMPARTC-140) is created for implementing SupportingToken assertion.";
"v1 fixes the nit";
"Patch committed.";
"Thanks Ankit!";
"Thanks for the patch, Kim.";
"I will look at those remaining references to NATIVE::LOCAL in the error messages.";
"The patch looks good.";JOY
"I tripped across one puzzling sentence, but it wasn't something that you changed: In the second, longer paragraph of the BUILTIN bullet, we recommend LDAP and user-supplied schemes as alternatives to BUILTIN, but we don't recommend NATIVE.";
"Did we decide to not recommend NATIVE here or should this be adjusted to include it beside the other safe schemes?";
"Thanks.";
"It could be that this has been resolved already (elsewhere).";
"See attached patch.";
"I'll add docs in Confluence if the example is integrated in Camel's codebase.";
"Closing all issues created in 2005 and before which are marked resolved";
"APIs doc is outdated - thanks";
"I have committed a fix for this, please close if you are satisfied.";
"Thanks.";
"Cool cool - thanks stack!";JOY
"Awesome! This tool is cool.";JOY
"What % of clients do think were stuck like this?";
"Mind adding your test run results in here?";
"QA test result is recorded above.";
"Closing, works like charm now.";
"Thanks guys for saving mankind!";JOY
"This looks safe also";JOY
"Stefan: are you sure you had a clean build with my patch applied?";
"Please follow up on the forum: http://www.jboss.com/index.html?module=bb&op=viewtopic&p=4178893#4178893";
"suggested for 3.1.1";
"Might want to correct the misspelling: *remvoed* AllFromInodesFromMap :)";
"Thank you very much Les.";
"I've just tested the shiro trunk with karaf-2.2 release and everything works fine :)";JOY
"Pretty sure this was fixed by the time we released JRuby 1.6.";JOY
"This patch looks pretty good.";
"I think we should apply it.   ";
"Moved to GA.";
"This appears to be a issue with Hibernate (the default JPA implementation in JBoss AS) rather than a EJB3 issue. ";
"Fixed the MAPREDUCE-3028 commit which broke MR1.";
"Contributed by Hitesh Shah.";
"Interesting, I just replaced my src with the latest in the trunk and did a compleatly clean build and the problem seems to have gone away.";JOY
"I'll close the ticket as it looks like a non-issue.";
"* it is impossible to name a column 1 * it is impossible to name a column alias 1  If order by supports this I do not see group by can't?";
"Do we want to reconsider this?I kinda like the feature. ";
"no POM provided here";
"This is Awesome Stefan - thanks a million!";JOY
"This is awesome - works in a one-liner. ";JOY
"I resolved the issue via Spring.";
"This is a screenshot from 1.5.3 and that is how I would expect the Directory Studio to behave.";
"Harsh, will you have a chance to work on a test for this?";
"Please tell me if you'd like me to help.";
"Misty,  Can you move JBPAPP-7480 to bz and then cross reference the bz number in this Jira and close this one?";
"Thanks,  Mike";
"v3 rewritten to be lots more explicit and save the vendor, arch, and version numbers for later code to use.";
"patch by johano; reviewed by jbellis for  ";
"Awesome!";JOY
"We just need a possible mentor here... volunteers...?";
"EAR project case is fixed.";
"Alexey, please verify.";
"Resolving this issue as it is covered by JBQA-5191 and JBQA-5192.";
"btw, MCLEAN-18-maven-clean-plugin.patch also applied the maven-clean-plugin-dcabasson-MCLEAN17.txt fix.";
"> DistributedHashTable is a good solution but then how are we planning  > to acheive let say a Distributed LRU Cache or Distributed Time-limited  > or a Distributed Count-Limited Cache.";
"I am not mandating to use DistributedHashtable directly by plugging it into Castor as it is, but as the base for 'distributable' TimeLimited, CountLimited et alias cache implementations.";
"Nice, I did not think about using the system tables.";JOY
"I will re-work and submit another patch.";
"Will upgrade to 1.0.10 and check it.";
"Will re-enable assertions too.";
"{{TrivariateRealFunction}} renamed in r1236932.";
"yeah, I think so.";
"we just used it with CBR (content based routing).";
"Now the JBossESB changed to SwitchYard and we need to ensure it works.";
"You're results are awesome Paul. Great work :) Looking forward to see your new JSON parser in trunk whenever you think is ready.";JOY
"We are restructuring the trunk now from jboss as 4.2 and it's unstable.";
"You should check out and build revision 693 of the trunk.";
"pushed";
"It is not in the requirement.";
"I move it into 2.1-M1.";
"Attaching patch for review.";
"Awesome, you rock, Drew!";JOY
"Very cool.";JOY
"Resolved by changing the meaning of maxRows to be across all code tables with a default of 200000, introduced maxRowPerTable with a default of 10000 to take the place of maxRows, and upped the default for maxCount to 200.";
"I switched to using the JavaSourceLoader and this appears to work fine.";
"Done except for pages.xml imports.";
"I'm not sure if this is actually a bug, we had it fixed, but then had to revert it.";
"I don't remember why right now though.";
"Awesome speedup! Finally all this work shows great results!!";JOY
"Integrated in Cassandra #63 (See [http://hudson.zones.apache.org/hudson/job/Cassandra/63/])     ";
"Applied Andrew's patch at r676866.";
"Please check that it was applied as expected.";
"@Subbu: Glad I was able to help.";JOY
"I think nothing is absolute.";
"I believe in relativity :-)";JOY
"This appears to have been fixed";
"Great! It's been good to be able to contribute and I hope to be able to more for this awesome project when I have the spare time.";JOY
"and your comments are very welcome..";
