text;label
"guys... this is so stupid...";ANGER
"I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?";ANGER
"{quote}You are messing down deep below hbase in dfs.";ANGER
"And I think if we're going to do a sweep up of shit, we should just kill root.";ANGER
"@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned.";ANGER
"Pull it back in if you think different.";ANGER
"i suck.";ANGER
"Will still be stuck in the loop though if can't actually close regions.";ANGER
"Original edited patch was messed up... stupid sed!";ANGER
"Who made this stupid rule?";ANGER
"Sorry but this is just stupid.";ANGER
"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.";ANGER
"This is not what I build a framework for.";ANGER
"Well, damn.";ANGER
"Blooper after blooper - I hate SVN.";ANGER
"This looks reasonable to me... sucks we have to special case handling of "" ""...";ANGER
"You may want to carefully examine your assumption about this.";ANGER
"Ok, wow, welcome to Linux hell...";ANGER
"If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.";ANGER
"Both equally bad.";ANGER
"Negative, I am against fetch groups in principle.";ANGER
"This way lies metadata hell.";ANGER
"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".";ANGER
"Damn...";ANGER
"Damn...";ANGER
"Damn !";ANGER
"The evil NPE strik back !!";ANGER
"Bloody hell !!!";ANGER
"Damn time has flown...";ANGER
"Damn it !";ANGER
"This was a very bad bug, introduced by me being an idiot.";ANGER
"I did try some variations as well, and I have to say I only got confused.";
"I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours.";ANGER
"damn this was assigned to you since months.";ANGER
"Imo all this just doesn't make sense from a pure performance aspect.";ANGER
"Confused about this.";
"Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.";ANGER
"If they do then Suse's cpio works for old ascii but the -c switch is broken.";ANGER
"This is pretty embarassing!";ANGER
"When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.";ANGER
"That being said, I'm not totally opposed to making the limit configurable.";ANGER
"My bad, I screwed up the assertion -> RuntimeException transition.";ANGER
"Well, that sucks.";ANGER
"No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all.";ANGER
"Ok here is a patch that works. I was stupid enough not to see it...";ANGER
"It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.";ANGER
"All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.";ANGER
"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS...   Did you just tell me to go fuck myself?";ANGER
"+1 (damn intellij, it's not like patch format hasn't been standard for years)";ANGER
